,device,os,num_devices,model,video,preprocess_mean,preprocess_sd,preprocess_min,preprocess_max,inference_mean,inference_sd,inference_min,inference_max,postprocess_mean,postprocess_sd,postprocess_min,postprocess_max
0,all-devices,all-os,4,bestPt,all-videos,1943.74,1263643.26,0.0,5521.3,1693.8,5054819060.03,0.0,3007598.0,1.0,0.44,0.0,1.0
1,all-devices,all-os,4,ncnn,all-videos,19.33,2864870.24,0.0,207.5,639.48,998670.57,1.0,1215.4,6.5,162.31,0.0,254.1
2,all-devices,all-os,7,all-models,all-videos,1711.88,1456562.17,0.0,5521.3,1566.77,4445925037.21,0.0,3007598.0,1.66,19.94,0.0,254.1
3,all-devices,pi,2,all-models,all-videos,26.11,2841980.09,22.3,207.5,996.57,325683.38,976.8,1215.4,9.59,321.85,8.3,254.1
4,all-devices,pi,2,ncnn,all-videos,26.11,2841980.09,22.3,207.5,996.57,325683.38,976.8,1215.4,9.59,321.85,8.3,254.1
5,all-devices,piLite,2,bestPt,all-videos,4771.42,9535554.83,0.0,5521.3,40.4,2330403.58,4.0,205.7,1.0,0.45,0.0,1.0
6,all-devices,piLite,3,all-models,all-videos,4304.06,8877774.96,0.0,5521.3,120.69,2164412.31,1.0,1101.5,1.67,5.64,0.0,15.1
7,all-devices,ubuntu,2,all-models,all-videos,1637.24,840420.03,0.0,3624.1,1706.29,5049134824.64,0.0,3007598.0,1.15,1.4,0.0,57.2
8,all-devices,ubuntu,2,bestPt,all-videos,1750.33,697852.41,0.0,3624.1,1806.89,5400404454.99,0.0,3007598.0,1.0,0.44,0.0,1.0
9,jetson,ubuntu,1,bestPt,seasons-herbst-polizei,1111.86,365690.48,0.0,1188.4,13258.96,39809566865.71,9.1,3007598.0,1.0,0.45,0.0,1.0
10,jetson,ubuntu,1,bestPt,seasons-herbst-wenig,1117.7,353105.11,1106.0,1159.2,9.8,2424165.32,9.1,15.2,1.0,0.44,1.0,1.0
11,jetson,ubuntu,1,bestPt,seasons-mittel-nacht,1112.47,359366.87,1099.4,1148.6,9.66,2424597.97,9.2,16.1,1.0,0.44,1.0,1.0
12,jetson,ubuntu,1,bestPt,seasons-mittel2,1119.68,350887.94,1099.4,1172.5,10.01,2423512.56,9.2,15.6,1.0,0.44,1.0,1.0
